Year,CO2emis,CO2conc,TempAnomaly,scenario,CO2emis,CO2conc,TempAnomaly,scenario
2010,9.9693,1076.934369,0.85,base,9.9693,275,0.85,constant CO2
2011,10.21677,1076.934369,0.929905817,base,9.9693,275,0.840386417,constant CO2
2012,10.46424,1076.934369,1.008721389,base,9.9693,275,0.831038943,constant CO2
2013,10.71171,1076.934369,1.086480099,base,9.9693,275,0.821970411,constant CO2
2014,10.95918,1076.934369,1.163203269,base,9.9693,275,0.813181903,constant CO2
2015,11.20665,1076.934369,1.238914177,base,9.9693,275,0.804676764,constant CO2
2016,11.45412,1076.934369,1.313635294,base,9.9693,275,0.796457836,constant CO2
2017,11.70159,1076.934369,1.387388138,base,9.9693,275,0.788527302,constant CO2
2018,11.94906,1076.934369,1.460193313,base,9.9693,275,0.780886726,constant CO2
2019,12.19653,1076.934369,1.532075762,base,9.9693,275,0.773542299,constant CO2
2020,12.444,1076.934369,1.603066319,base,9.9693,275,0.766506387,constant CO2
2021,12.65501,1076.934369,1.673198991,base,9.9693,275,0.759794809,constant CO2
2022,12.86602,1076.934369,1.742487659,base,9.9693,275,0.753403533,constant CO2
2023,13.07703,1076.934369,1.810934606,base,9.9693,275,0.747317204,constant CO2
2024,13.28804,1076.934369,1.878553007,base,9.9693,275,0.741531619,constant CO2
2025,13.49905,1076.934369,1.945356063,base,9.9693,275,0.736042872,constant CO2
2026,13.71006,1076.934369,2.011356867,base,9.9693,275,0.730847202,constant CO2
2027,13.92107,1076.934369,2.076568231,base,9.9693,275,0.725940828,constant CO2
2028,14.13208,1076.934369,2.141002491,base,9.9693,275,0.721319739,constant CO2
2029,14.34309,1076.934369,2.204671594,base,9.9693,275,0.716979786,constant CO2
2030,14.5541,1076.934369,2.267606068,base,9.9693,275,0.712935645,constant CO2
2031,14.84185,1076.934369,2.329854849,base,9.9693,275,0.709220638,constant CO2
2032,15.1296,1076.934369,2.391438763,base,9.9693,275,0.705840216,constant CO2
2033,15.41735,1076.934369,2.452361065,base,9.9693,275,0.702782489,constant CO2
2034,15.7051,1076.934369,2.512634746,base,9.9693,275,0.700045536,constant CO2
2035,15.99285,1076.934369,2.572271982,base,9.9693,275,0.697626845,constant CO2
2036,16.2806,1076.934369,2.631284209,base,9.9693,275,0.695523385,constant CO2
2037,16.56835,1076.934369,2.689682234,base,9.9693,275,0.69373172,constant CO2
2038,16.8561,1076.934369,2.747476109,base,9.9693,275,0.692247869,constant CO2
2039,17.14385,1076.934369,2.804675013,base,9.9693,275,0.691067195,constant CO2
2040,17.4316,1076.934369,2.861283414,base,9.9693,275,0.690180555,constant CO2
2041,17.7665,1076.934369,2.917301214,base,9.9693,275,0.689574453,constant CO2
2042,18.1014,1076.934369,2.972734992,base,9.9693,275,0.689242267,constant CO2
2043,18.4363,1076.934369,3.027595061,base,9.9693,275,0.68918131,constant CO2
2044,18.7712,1076.934369,3.081888946,base,9.9693,275,0.689386306,constant CO2
2045,19.1061,1076.934369,3.135624934,base,9.9693,275,0.689852934,constant CO2
2046,19.441,1076.934369,3.188811857,base,9.9693,275,0.690577608,constant CO2
2047,19.7759,1076.934369,3.241458893,base,9.9693,275,0.691557278,constant CO2
2048,20.1108,1076.934369,3.293575459,base,9.9693,275,0.692789316,constant CO2
2049,20.4457,1076.934369,3.345170903,base,9.9693,275,0.69427121,constant CO2
2050,20.7806,1076.934369,3.3962405,base,9.9693,275,0.695986554,constant CO2
2051,21.11225,1076.934369,3.446765637,base,9.9693,275,0.69790523,constant CO2
2052,21.4439,1076.934369,3.49674287,base,9.9693,275,0.700012462,constant CO2
2053,21.77555,1076.934369,3.546180178,base,9.9693,275,0.702305073,constant CO2
2054,22.1072,1076.934369,3.595081366,base,9.9693,275,0.704775877,constant CO2
2055,22.43885,1076.934369,3.643450172,base,9.9693,275,0.707417791,constant CO2
2056,22.7705,1076.934369,3.691291163,base,9.9693,275,0.710224721,constant CO2
2057,23.10215,1076.934369,3.738609573,base,9.9693,275,0.713191404,constant CO2
2058,23.4338,1076.934369,3.785411194,base,9.9693,275,0.716313293,constant CO2
2059,23.76545,1076.934369,3.83170237,base,9.9693,275,0.719586552,constant CO2
2060,24.0971,1076.934369,3.87748631,base,9.9693,275,0.723004362,constant CO2
2061,24.32481,1076.934369,3.922762809,base,9.9693,275,0.726556642,constant CO2
2062,24.55252,1076.934369,3.967533689,base,9.9693,275,0.730235487,constant CO2
2063,24.78023,1076.934369,4.011801687,base,9.9693,275,0.734034058,constant CO2
2064,25.00794,1076.934369,4.055568636,base,9.9693,275,0.737944752,constant CO2
2065,25.23565,1076.934369,4.098836128,base,9.9693,275,0.741959873,constant CO2
2066,25.46336,1076.934369,4.141605761,base,9.9693,275,0.746071867,constant CO2
2067,25.69107,1076.934369,4.183880071,base,9.9693,275,0.75027426,constant CO2
2068,25.91878,1076.934369,4.225662378,base,9.9693,275,0.754561497,constant CO2
