year,backstopprice,sigma_abatement,,,
2010,366.5987712,0.455487788,,,
2011,364.6148068,0.452303907,,,
2012,362.6425576,0.449132545,,,
2013,360.6819486,0.4459737,,,
2014,358.7329054,0.442827374,,,
2015,356.795354,0.439693566,,,
2016,354.8692211,0.436572276,,,
2017,352.9544338,0.433463504,,,
2018,351.0509196,0.43036725,,,
2019,349.1586066,0.427283515,,,
2020,347.2774234,0.424212298,,,
2021,345.4072992,0.421153599,,,
2022,343.5481634,0.418107418,,,
2023,341.6999461,0.415073756,,,
2024,339.8625779,0.412052611,,,
2025,338.0359897,0.409043985,,,
2026,336.220113,0.406047877,,,
2027,334.4148798,0.403064288,,,
2028,332.6202224,0.400093216,,,
2029,330.8360738,0.397134663,,,
2030,329.0623673,0.394188628,,,
2031,327.2990366,0.391255111,,,
2032,325.546016,0.388334112,,,
2033,323.8032403,0.385425632,,,
2034,322.0706444,0.38252967,,,
2035,320.3481641,0.379646226,,,
2036,318.6357352,0.3767753,,,
2037,316.9332944,0.373916892,,,
2038,315.2407783,0.371071003,,,
2039,313.5581245,0.368237632,,,
2040,311.8852705,0.365416779,,,
2041,310.2221546,0.362608444,,,
2042,308.5687154,0.359812627,,,
2043,306.9248918,0.357029329,,,
2044,305.2906232,0.354258549,,,
2045,303.6658496,0.351500287,,,
2046,302.050511,0.348754543,,,
2047,300.4445482,0.346021318,,,
2048,298.8479023,0.34330061,,,
2049,297.2605145,0.340592421,,,
2050,295.6823269,0.33789675,,,
2051,294.1132815,0.335213598,,,
2052,292.5533211,0.332542963,,,
2053,291.0023886,0.329884847,,,
2054,289.4604274,0.327239249,,,
2055,287.9273813,0.324606169,,,
2056,286.4031945,0.321985607,,,
2057,284.8878115,0.319377564,,,
2058,283.3811771,0.316782038,,,
2059,281.8832368,0.314199031,,,
2060,280.393936,0.311628543,,,
2061,278.9132209,0.309070572,,,
2062,277.4410378,0.30652512,,,
2063,275.9773335,0.303992185,,,
2064,274.522055,0.301471769,,,
2065,273.0751497,0.298963872,,,
2066,271.6365656,0.296468492,,,
2067,270.2062507,0.293985631,,,
2068,268.7841535,0.291515287,,,
2069,267.3702229,0.289057462,,,
2070,265.9644081,0.286612156,,,
2071,264.5666586,0.284179367,,,
2072,263.1769243,0.281759097,,,
2073,261.7951554,0.279351345,,,
2074,260.4213023,0.276956111,,,
2075,259.0553161,0.274573395,,,
2076,257.6971478,0.272203198,,,
2077,256.346749,0.269845518,,,
2078,255.0040716,0.267500357,,,
2079,253.6690677,0.265167714,,,
2080,252.3416897,0.26284759,,,
2081,251.0218906,0.260539983,,,
2082,249.7096234,0.258244895,,,
2083,248.4048415,0.255962325,,,
2084,247.1074987,0.253692273,,,
2085,245.8175491,0.251434739,,,
2086,244.5349469,0.249189724,,,
2087,243.2596469,0.246957227,,,
2088,241.991604,0.244737248,,,
2089,240.7307734,0.242529787,,,
2090,239.4771108,0.240334844,,,
2091,238.2305719,0.23815242,,,
2092,236.9911129,0.235982514,,,
2093,235.7586903,0.233825126,,,
2094,234.5332607,0.231680256,,,
2095,233.3147812,0.229547904,,,
2096,232.103209,0.227428071,,,
