v YEARS/GAS >,TOTAL_INCLVOLCANIC_RF,VOLCANIC_ANNUAL_RF,SOLAR_RF,TOTAL_ANTHRO_RF,GHG_RF,KYOTOGHG_RF,CO2CH4N2O_RF,CO2_RF,NON_CO2_RF,CH4_RF,N2O_RF,FGASSUM_RF,MHALOSUM_RF,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL,TOTAER_DIR_RF,OCI_RF,BCI_RF,SOXI_RF,NOXI_RF,BIOMASSAER_RF,MINERALDUST_RF,CLOUD_TOT_RF,STRATOZ_RF,TROPOZ_RF,CH4OXSTRATH2O_RF,LANDUSE_RF,BCSNOW_RF
1765,0,0,-0.02835875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,0.12602655,0.11622211,-0.02069375,0.016318812,0.015363514,0.015363514,0.015363514,0.011049082,0.00526973,0.00357577,0.0007386612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000017767194,0,0,-0.000028673141,-0.000012927992,0.00025010344,-0.00019073512,-0.00080145063,0,0.0014060381,0.00060670657,-0.00038147024,0.00010770762
1767,0.27303147,0.23244422,0.007039375,0.033547871,0.03212315,0.03212315,0.03212315,0.023246047,0.010301824,0.007360738,0.0015163651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000064676814,0,0,-0.000079765703,-0.000031908169,0.00067293932,-0.00056773313,-0.0023811199,0,0.0033782715,0.0012489141,-0.0011354663,0.00032058953
1768,0.27887064,0.19744422,0.046256875,0.03516955,0.03497215,0.03497215,0.03497215,0.025605215,0.009564335,0.0077731272,0.0015938079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00012035558,0,0,-0.00012042129,-0.000041646503,0.00097755344,-0.00093584123,-0.0039149359,0,0.0042570417,0.0013188972,-0.0018716825,0.00052843503
1769,0.24204524,0.13181922,0.073605,0.036621026,0.037899463,0.037899463,0.037899463,0.028057033,0.008563993,0.0081723731,0.0016700562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00028156958,0,0,-0.00015396175,-0.000047930237,0.0012154908,-0.0012951684,-0.005404098,0,0.004879612,0.001386651,-0.0025903369,0.00073130458
1770,0.24282439,0.12744422,0.077258125,0.038122043,0.040855884,0.040855884,0.040855884,0.03055287,0.007569173,0.0085577857,0.0017452284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00047095412,0,0,-0.00018243929,-0.000052537901,0.0014098468,-0.0016458238,-0.0068497637,0,0.0054972068,0.0014520585,-0.0032916475,0.00092925863
1771,0.28414227,0.17994422,0.064894375,0.039303678,0.043845012,0.043845012,0.043845012,0.033093627,0.006210051,0.008932072,0.0018193127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00088830284,-0.000016857657,0.000060665212,-0.00024259762,-0.000056985635,0.0013553891,-0.0019879163,-0.0084466666,0,0.0061109069,0.0015155788,-0.0039758326,0.001142983
1772,0.29985709,0.21494422,0.04433625,0.040576622,0.046896662,0.046896662,0.046896662,0.035705793,0.004870829,0.0092985859,0.0018922835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013273201,-0.000033715314,0.00012133042,-0.00029815572,-0.000060788472,0.001265564,-0.002321555,-0.010001348,0,0.006722044,0.001577781,-0.00464311,0.0013519128
1773,0.29075585,0.22806922,0.020348125,0.042338505,0.050019453,0.050019453,0.050019453,0.038397133,0.003941372,0.0096580629,0.0019642574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015711789,-0.000033715314,0.00012133042,-0.00031462138,-0.000063383413,0.0013660597,-0.0026468489,-0.01132127,0,0.007330926,0.00163879,-0.0052936978,0.0015354832
1774,0.27809954,0.23244422,0.00144375,0.044211576,0.053206144,0.053206144,0.053206144,0.041160901,0.003050675,0.010009802,0.0020354403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018149055,-0.000033715314,0.00012133042,-0.00032986832,-0.000065749156,0.001457004,-0.0029639071,-0.012602014,0,0.0079372997,0.0016984866,-0.0059278143,0.0017143798
