Year,sigma
2010,0.589209363
2011,0.578126479
2012,0.562959427
2013,0.548670873
2014,0.535162884
2015,0.522352683
2016,0.5101698
2017,0.498553838
2018,0.487452709
2019,0.476821232
2020,0.466620003
2021,0.454747885
2022,0.443433291
2023,0.432630038
2024,0.422297304
2025,0.412398854
2026,0.402902407
2027,0.393779101
2028,0.385003041
2029,0.376550921
2030,0.3684017
2031,0.361169152
2032,0.354133287
2033,0.347285649
2034,0.340618322
2035,0.33412389
2036,0.327795388
2037,0.321626275
2038,0.31561039
2039,0.309741934
2040,0.304015432
2041,0.298679868
2042,0.293455949
2043,0.288340524
2044,0.283330567
2045,0.278423173
2046,0.273615552
2047,0.268905022
2048,0.264289005
2049,0.259765017
2050,0.255330669
2051,0.251691804
2052,0.248102496
2053,0.244562169
2054,0.241070249
2055,0.237626163
2056,0.234229341
2057,0.230879217
2058,0.227575226
2059,0.224316807
2060,0.2211034
2061,0.21789427
2062,0.214730833
2063,0.211612476
2064,0.208538591
2065,0.20550858
2066,0.202521848
2067,0.199577807
2068,0.196675878
2069,0.193815486
2070,0.190996064
2071,0.18865651
2072,0.186335856
2073,0.184034411
2074,0.181752453
2075,0.179490232
2076,0.17724797
2077,0.175025867
2078,0.172824096
2079,0.17064281
2080,0.168482138
2081,0.166335722
2082,0.164210027
2083,0.162105153
2084,0.160021182
2085,0.157958177
2086,0.155916186
2087,0.15389524
2088,0.151895356
2089,0.149916536
2090,0.147958772
2091,0.145975896
2092,0.144015727
2093,0.142078177
2094,0.140163151
2095,0.138270542
2096,0.136400236
2097,0.134552111
2098,0.13272604
2099,0.130921887
2100,0.12913951
2101,0.129155466
2102,0.129170984
2103,0.129185942
2104,0.129200217
2105,0.129213686
2106,0.129226224
2107,0.129237709
2108,0.129248016
2109,0.129257021
2110,0.1292646
2111,0.129270628
2112,0.12927498
2113,0.12927753
2114,0.129278155
2115,0.129276728
2116,0.129273123
2117,0.129267216
2118,0.129258881
2119,0.129247991
2120,0.129234422
2121,0.129218047
2122,0.129198741
2123,0.129176378
2124,0.129150833
2125,0.129121981
2126,0.129089696
2127,0.129053854
2128,0.12901433
2129,0.128971001
2130,0.128923742
2131,0.12887243
2132,0.128816944
2133,0.128757159
2134,0.128692955
2135,0.128624212
2136,0.128550809
2137,0.128472627
2138,0.128389547
2139,0.128301453
2140,0.128208227
2141,0.128109756
2142,0.128005924
2143,0.12789662
2144,0.127781731
2145,0.127661148
2146,0.127534763
2147,0.127402469
2148,0.127264159
2149,0.127119732
2150,0.126969086
2151,0.12681212
2152,0.126648738
2153,0.126478844
2154,0.126302344
2155,0.126119148
2156,0.125929167
2157,0.125732315
2158,0.125528509
2159,0.125317667
2160,0.125099712
2161,0.124874567
2162,0.124642162
2163,0.124402426
2164,0.124155293
2165,0.1239007
2166,0.123638588
2167,0.123368899
2168,0.123091582
2169,0.122806586
2170,0.122513865
2171,0.122213378
2172,0.121905086
2173,0.121588955
2174,0.121264953
2175,0.120933055
2176,0.120593236
2177,0.12024548
2178,0.119889771
2179,0.119526098
2180,0.119154457
2181,0.118774845
2182,0.118387264
2183,0.117991722
2184,0.117588231
2185,0.117176805
2186,0.116757466
2187,0.116330237
2188,0.115895149
2189,0.115452234
2190,0.115001532
2191,0.114543085
2192,0.11407694
2193,0.113603148
2194,0.113121767
2195,0.112632857
2196,0.112136483
2197,0.111632714
2198,0.111121625
2199,0.110603293
2200,0.110077802
2201,0.109545237
2202,0.10900569
2203,0.108459256
2204,0.107906034
2205,0.107346126
2206,0.10677964
2207,0.106206686
2208,0.105627379
2209,0.105041837
2210,0.10445018
2211,0.103852535
2212,0.10324903
2213,0.102639795
2214,0.102024966
2215,0.101404679
2216,0.100779076
2217,0.1001483
2218,0.099512496
2219,0.098871813
2220,0.098226401
2221,0.097576413
2222,0.096922004
2223,0.096263331
2224,0.095600552
2225,0.094933827
2226,0.09426332
2227,0.093589192
2228,0.092911608
2229,0.092230734
2230,0.091546736
2231,0.090859781
2232,0.090170038
2233,0.089477675
2234,0.08878286
2235,0.088085763
2236,0.087386552
2237,0.086685398
2238,0.085982468
2239,0.085277931
2240,0.084571956
2241,0.08386471
2242,0.08315636
2243,0.082447071
2244,0.081737009
2245,0.081026338
2246,0.08031522
2247,0.079603816
2248,0.078892288
2249,0.078180792
2250,0.077469486
2251,0.076758526
2252,0.076048063
2253,0.075338249
2254,0.074629234
2255,0.073921165
2256,0.073214187
2257,0.072508442
2258,0.07180407
2259,0.071101211
2260,0.070399998
2261,0.069700565
2262,0.069003043
2263,0.068307559
2264,0.067614238
2265,0.066923203
2266,0.066234573
2267,0.065548464
2268,0.064864991
2269,0.064184265
2270,0.063506393
2271,0.062831481
2272,0.062159632
2273,0.061490943
2274,0.060825513
2275,0.060163434
2276,0.059504797
2277,0.058849688
2278,0.058198194
2279,0.057550394
2280,0.056906369
2281,0.056266193
2282,0.055629938
2283,0.054997676
2284,0.054369473
2285,0.053745392
2286,0.053125496
2287,0.052509842
2288,0.051898486
2289,0.051291482
2290,0.050688878
2291,0.050090723
2292,0.049497061
2293,0.048907934
2294,0.048323383
2295,0.047743443
2296,0.04716815
2297,0.046597536
2298,0.046031629
2299,0.045470458
2300,0.044914048
