years,GDPperCapita,Emissions_intensity,Energy_Intensity,Population,LandUseEmissions,PrimaryEnergy,GDP
2010,9.835062265,79.38695057,0.007421993,6867.44,7161.435335,501.294,67541.7
2011,10.19270184,78.89197308,0.007328077,6949.285,7047.555462,519.0623,70831.99
2012,10.54201529,77.7299884,0.007328045,7031.13,6933.675588,536.8306,74122.28
2013,10.88329004,76.58511836,0.007328012,7112.975,6819.795715,554.5989,77412.57
2014,11.21680042,75.4571109,0.00732798,7194.82,6705.915841,572.3672,80702.86
2015,11.54280842,74.34571764,0.007327947,7276.665,6592.035968,590.1355,83993.15
2016,11.86156437,73.25069387,0.007327915,7358.51,6478.156095,607.9038,87283.44
2017,12.17330759,72.1717985,0.007327882,7440.355,6364.276221,625.6721,90573.73
2018,12.478267,71.10879398,0.00732785,7522.2,6250.396348,643.4404,93864.02
2019,12.77666163,70.06144624,0.007327817,7604.045,6136.516474,661.2087,97154.31
2020,13.06870122,69.02952469,0.007327785,7685.89,6022.636601,678.977,100444.6
2021,13.36396,68.0128021,0.007327752,7767.631,5950.211555,694.0708,103806.31
2022,13.65306932,67.01105464,0.00732772,7849.372,5877.786508,709.1646,107168.02
2023,13.93621929,66.02406171,0.007327687,7931.113,5805.361462,724.2584,110529.73
2024,14.21359231,65.05160602,0.007327655,8012.854,5732.936416,739.3522,113891.44
2025,14.48536338,64.09347343,0.007327622,8094.595,5660.51137,754.446,117253.15
2026,14.75170052,63.149453,0.00732759,8176.336,5588.086323,769.5398,120614.86
2027,15.01276508,62.21933687,0.007327557,8258.077,5515.661277,784.6336,123976.57
2028,15.2687121,61.30292023,0.007327525,8339.818,5443.236231,799.7274,127338.28
2029,15.51969059,60.40000132,0.007327492,8421.559,5370.811184,814.8212,130699.99
2030,15.76584385,59.51038133,0.00732746,8503.3,5298.386138,829.915,134061.7
2031,15.91796116,58.63386438,0.007327427,8577.961,5224.915543,841.0729,136543.65
2032,16.06745331,57.77025747,0.007327395,8652.622,5151.444949,852.2308,139025.6
2033,16.21438769,56.91937047,0.007327362,8727.283,5077.974355,863.3887,141507.55
2034,16.35882937,56.08101602,0.00732733,8801.944,5004.50376,874.5466,143989.5
2035,16.50084126,55.25500953,0.007327297,8876.605,4931.033166,885.7045,146471.45
2036,16.64048415,54.44116914,0.007327265,8951.266,4857.562571,896.8624,148953.4
2037,16.77781684,53.63931564,0.007327232,9025.927,4784.091977,908.0203,151435.35
2038,16.91289618,52.84927248,0.0073272,9100.588,4710.621382,919.1782,153917.3
2039,17.04577718,52.07086572,0.007327167,9175.249,4637.150788,930.3361,156399.25
2040,17.17651307,51.30392396,0.007327135,9249.91,4563.680193,941.494,158881.2
2041,17.25720302,50.54827834,0.007327102,9320.668,4528.527662,950.4232,160848.66
2042,17.33667709,49.80376248,0.00732707,9391.426,4493.37513,959.3524,162816.12
2043,17.41496255,49.07021245,0.007327037,9462.184,4458.222599,968.2816,164783.58
2044,17.49208586,48.34746674,0.007327005,9532.942,4423.070067,977.2108,166751.04
2045,17.56807272,47.63536621,0.007326972,9603.7,4387.917536,986.14,168718.5
2046,17.64294806,46.93375407,0.00732694,9674.458,4352.765005,995.0692,170685.96
2047,17.71673609,46.24247584,0.007326907,9745.216,4317.612473,1003.9984,172653.42
2048,17.78946032,45.56137932,0.007326875,9815.974,4282.459942,1012.9276,174620.88
2049,17.8611436,44.89031453,0.007326842,9886.732,4247.30741,1021.8568,176588.34
2050,17.93180812,44.22913373,0.00732681,9957.49,4212.154879,1030.786,178555.8
2051,17.98914345,43.57769133,0.007326777,10020.307,4091.494031,1041.1094,180256.74
2052,18.04576439,42.93584391,0.007326745,10083.124,3970.833183,1051.4328,181957.68
2053,18.10168421,42.30345013,0.007326712,10145.941,3850.172336,1061.7562,183658.62
2054,18.15691586,41.68037075,0.00732668,10208.758,3729.511488,1072.0796,185359.56
2055,18.21147195,41.0664686,0.007326647,10271.575,3608.85064,1082.403,187060.5
2056,18.26536481,40.46160849,0.007326615,10334.392,3488.189792,1092.7264,188761.44
2057,18.31860646,39.86565724,0.007326582,10397.209,3367.528944,1103.0498,190462.38
2058,18.37120864,39.27848365,0.00732655,10460.026,3246.868097,1113.3732,192163.32
2059,18.42318278,38.69995843,0.007326518,10522.843,3126.207249,1123.6966,193864.26
2060,18.47454009,38.12995419,0.007326485,10585.66,3005.546401,1134.02,195565.2
2061,18.55278731,37.56834543,0.007326453,10641.525,2906.88921,1145.0825,197429.95
2062,18.63021728,37.01500851,0.00732642,10697.39,2808.232018,1156.145,199294.7
2063,18.70684272,36.46982157,0.007326388,10753.255,2709.574827,1167.2075,201159.45
2064,18.78267611,35.93266459,0.007326355,10809.12,2610.917636,1178.27,203024.2
2065,18.85772967,35.40341929,0.007326323,10864.985,2512.260445,1189.3325,204888.95
2066,18.93201537,34.88196914,0.00732629,10920.85,2413.603253,1200.395,206753.7
2067,19.00554492,34.36819934,0.007326258,10976.715,2314.946062,1211.4575,208618.45
